"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"ANGELITOS DE LAS BRISAS","3937818","3937818","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"RAYITOS DEL SOL","3945404","3945404","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"JESUS AMIGO","3945405","3945405","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ENCANTOS DE JESUS","3945406","3945406","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"CAMINITO DEL AMANECER","3945408","3945408","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"ROSA DE AMERICA","3945416","3945416","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SEMILLITA BENDECIDA","3945420","3945420","inicial_jardin","EBR","CIENEGUILLA","SIN REI","NO REGISTRADO","active"
"MI MUNDO DE AMOR","3947099","3947099","inicial_jardin","EBR","CIENEGUILLA","SIN REI","NO REGISTRADO","active"
"CARITA DE SOL","3964957","3964957","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"AYUDANDO A CRECER","3966704","3966704","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"CARITAS DE ANGEL","3969134","3969134","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"RETOÑITOS DEL MAÑANA","3971043","3971043","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"GOTITAS DE DIOS","3971044","3971044","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LUCERO DE LA MAÑANA","3971790","3971790","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"PASITOS FIRMES","3971791","3971791","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"JUGANDO APRENDO II","3971792","3971792","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"LOS GORRIONCITOS","3980872","3980872","inicial_jardin","EBR","SANTA ANITA","SIN REI","NO REGISTRADO","active"
"MI BUEN PASTOR","3980873","3980873","inicial_jardin","EBR","SANTA ANITA","SIN REI","NO REGISTRADO","active"
"ESMERALDA DE JESUS","3983254","3983254","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"ESTRELLITA LUMINOSA","3983255","3983255","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MIS LUCERITOS","3983256","3983256","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"ALEGRIA Y AMOR","3983257","3983257","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"BURBUJITAS TRAVIEZAS","3983258","3983258","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"CARRUSEL DE NIÑOS B","3983259","3983259","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"APRENDO JUGANDO B","3983260","3983260","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SEMILLLITA MILAGROSA","3983261","3983261","inicial_jardin","EBR","CIENEGUILLA","SIN REI","NO REGISTRADO","active"
"NIÑOS DE HUANCA","3986591","3986591","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"YURAQ URPI","3991594","3991594","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"DIAS FELICES","3992326","3992326","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"NUEVO HORIZONTE","3992327","3992327","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MIS PRIMEROS PASITOS","3996425","3996425","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
